Date_key,Full_date,Year,Month,Month_name,Week_number,Season,Is_rainy_season
20150101,2015-01-01,2015,1,January,1,Dry,False
20150102,2015-01-02,2015,1,January,1,Dry,False
20150103,2015-01-03,2015,1,January,1,Dry,False
20150104,2015-01-04,2015,1,January,1,Dry,False
20150105,2015-01-05,2015,1,January,2,Dry,False
20150106,2015-01-06,2015,1,January,2,Dry,False
20150107,2015-01-07,2015,1,January,2,Dry,False
20150108,2015-01-08,2015,1,January,2,Dry,False
20150109,2015-01-09,2015,1,January,2,Dry,False
20150110,2015-01-10,2015,1,January,2,Dry,False
20150111,2015-01-11,2015,1,January,2,Dry,False
20150112,2015-01-12,2015,1,January,3,Dry,False
20150113,2015-01-13,2015,1,January,3,Dry,False
20150114,2015-01-14,2015,1,January,3,Dry,False
20150115,2015-01-15,2015,1,January,3,Dry,False
20150116,2015-01-16,2015,1,January,3,Dry,False
20150117,2015-01-17,2015,1,January,3,Dry,False
20150118,2015-01-18,2015,1,January,3,Dry,False
20150119,2015-01-19,2015,1,January,4,Dry,False
20150120,2015-01-20,2015,1,January,4,Dry,False
20150121,2015-01-21,2015,1,January,4,Dry,False
20150122,2015-01-22,2015,1,January,4,Dry,False
20150123,2015-01-23,2015,1,January,4,Dry,False
20150124,2015-01-24,2015,1,January,4,Dry,False
20150125,2015-01-25,2015,1,January,4,Dry,False
20150126,2015-01-26,2015,1,January,5,Dry,False
20150127,2015-01-27,2015,1,January,5,Dry,False
20150128,2015-01-28,2015,1,January,5,Dry,False
20150129,2015-01-29,2015,1,January,5,Dry,False
20150130,2015-01-30,2015,1,January,5,Dry,False
20150131,2015-01-31,2015,1,January,5,Dry,False
20150201,2015-02-01,2015,2,February,5,Dry,False
20150202,2015-02-02,2015,2,February,6,Dry,False
20150203,2015-02-03,2015,2,February,6,Dry,False
20150204,2015-02-04,2015,2,February,6,Dry,False
20150205,2015-02-05,2015,2,February,6,Dry,False
20150206,2015-02-06,2015,2,February,6,Dry,False
20150207,2015-02-07,2015,2,February,6,Dry,False
20150208,2015-02-08,2015,2,February,6,Dry,False
20150209,2015-02-09,2015,2,February,7,Dry,False
20150210,2015-02-10,2015,2,February,7,Dry,False
20150211,2015-02-11,2015,2,February,7,Dry,False
20150212,2015-02-12,2015,2,February,7,Dry,False
20150213,2015-02-13,2015,2,February,7,Dry,False
20150214,2015-02-14,2015,2,February,7,Dry,False
20150215,2015-02-15,2015,2,February,7,Dry,False
20150216,2015-02-16,2015,2,February,8,Dry,False
20150217,2015-02-17,2015,2,February,8,Dry,False
20150218,2015-02-18,2015,2,February,8,Dry,False
20150219,2015-02-19,2015,2,February,8,Dry,False
20150220,2015-02-20,2015,2,February,8,Dry,False
20150221,2015-02-21,2015,2,February,8,Dry,False
20150222,2015-02-22,2015,2,February,8,Dry,False
20150223,2015-02-23,2015,2,February,9,Dry,False
20150224,2015-02-24,2015,2,February,9,Dry,False
20150225,2015-02-25,2015,2,February,9,Dry,False
20150226,2015-02-26,2015,2,February,9,Dry,False
20150227,2015-02-27,2015,2,February,9,Dry,False
20150228,2015-02-28,2015,2,February,9,Dry,False
20150301,2015-03-01,2015,3,March,9,Rainy,False
20150302,2015-03-02,2015,3,March,10,Rainy,False
20150303,2015-03-03,2015,3,March,10,Rainy,False
20150304,2015-03-04,2015,3,March,10,Rainy,False
20150305,2015-03-05,2015,3,March,10,Rainy,False
20150306,2015-03-06,2015,3,March,10,Rainy,False
20150307,2015-03-07,2015,3,March,10,Rainy,False
20150308,2015-03-08,2015,3,March,10,Rainy,False
20150309,2015-03-09,2015,3,March,11,Rainy,False
20150310,2015-03-10,2015,3,March,11,Rainy,False
20150311,2015-03-11,2015,3,March,11,Rainy,False
20150312,2015-03-12,2015,3,March,11,Rainy,False
20150313,2015-03-13,2015,3,March,11,Rainy,False
20150314,2015-03-14,2015,3,March,11,Rainy,False
20150315,2015-03-15,2015,3,March,11,Rainy,False
20150316,2015-03-16,2015,3,March,12,Rainy,False
20150317,2015-03-17,2015,3,March,12,Rainy,False
20150318,2015-03-18,2015,3,March,12,Rainy,False
20150319,2015-03-19,2015,3,March,12,Rainy,False
20150320,2015-03-20,2015,3,March,12,Rainy,False
20150321,2015-03-21,2015,3,March,12,Rainy,False
20150322,2015-03-22,2015,3,March,12,Rainy,False
20150323,2015-03-23,2015,3,March,13,Rainy,False
20150324,2015-03-24,2015,3,March,13,Rainy,False
20150325,2015-03-25,2015,3,March,13,Rainy,False
20150326,2015-03-26,2015,3,March,13,Rainy,False
20150327,2015-03-27,2015,3,March,13,Rainy,False
20150328,2015-03-28,2015,3,March,13,Rainy,False
20150329,2015-03-29,2015,3,March,13,Rainy,False
20150330,2015-03-30,2015,3,March,14,Rainy,False
20150331,2015-03-31,2015,3,March,14,Rainy,False
20150401,2015-04-01,2015,4,April,14,Rainy,False
20150402,2015-04-02,2015,4,April,14,Rainy,False
20150403,2015-04-03,2015,4,April,14,Rainy,False
20150404,2015-04-04,2015,4,April,14,Rainy,False
20150405,2015-04-05,2015,4,April,14,Rainy,False
20150406,2015-04-06,2015,4,April,15,Rainy,False
20150407,2015-04-07,2015,4,April,15,Rainy,False
20150408,2015-04-08,2015,4,April,15,Rainy,False
20150409,2015-04-09,2015,4,April,15,Rainy,False
20150410,2015-04-10,2015,4,April,15,Rainy,False
20150411,2015-04-11,2015,4,April,15,Rainy,False
20150412,2015-04-12,2015,4,April,15,Rainy,False
20150413,2015-04-13,2015,4,April,16,Rainy,False
20150414,2015-04-14,2015,4,April,16,Rainy,False
20150415,2015-04-15,2015,4,April,16,Rainy,False
20150416,2015-04-16,2015,4,April,16,Rainy,False
20150417,2015-04-17,2015,4,April,16,Rainy,False
20150418,2015-04-18,2015,4,April,16,Rainy,False
20150419,2015-04-19,2015,4,April,16,Rainy,False
20150420,2015-04-20,2015,4,April,17,Rainy,False
20150421,2015-04-21,2015,4,April,17,Rainy,False
20150422,2015-04-22,2015,4,April,17,Rainy,False
20150423,2015-04-23,2015,4,April,17,Rainy,False
20150424,2015-04-24,2015,4,April,17,Rainy,False
