Demographic_key,Age_group,Socio_economic_status,Vaccination_rate,Housing_type
0,Elderly (65+),Low Income,76.62,Semi-urban
1,Adults (15-64),Low Income,71.19,Urban
2,Children (0-14),Middle Income,63.86,Rural
3,Children (0-14),Low Income,66.07,Rural
4,Adults (15-64),Low Income,69.65,Urban
5,Adults (15-64),Low Income,75.63,Rural
6,Elderly (65+),Low Income,86.69,Semi-urban
7,Elderly (65+),Middle Income,52.56,Semi-urban
8,Elderly (65+),High Income,62.8,Urban
9,Adults (15-64),High Income,59.25,Semi-urban
10,Children (0-14),Low Income,60.69,Semi-urban
11,Elderly (65+),Low Income,77.2,Urban
12,Children (0-14),Low Income,77.03,Urban
13,Elderly (65+),Low Income,77.43,Semi-urban
14,Adults (15-64),Middle Income,62.24,Rural
15,Adults (15-64),High Income,40.23,Rural
16,Adults (15-64),High Income,52.39,Rural
17,Elderly (65+),High Income,40.05,Semi-urban
18,Adults (15-64),Middle Income,83.48,Semi-urban
19,Children (0-14),Middle Income,90.86,Rural
20,Children (0-14),High Income,48.68,Rural
21,Children (0-14),Middle Income,50.91,Urban
22,Children (0-14),High Income,87.61,Semi-urban
23,Adults (15-64),Middle Income,62.65,Urban
24,Elderly (65+),High Income,49.11,Urban
25,Children (0-14),Low Income,65.4,Semi-urban
26,Elderly (65+),High Income,66.04,Urban
27,Elderly (65+),High Income,65.65,Urban
28,Children (0-14),Low Income,78.03,Semi-urban
29,Children (0-14),Middle Income,44.86,Urban
30,Elderly (65+),Low Income,76.63,Semi-urban
31,Children (0-14),Low Income,53.76,Urban
32,Adults (15-64),High Income,92.56,Rural
33,Children (0-14),Middle Income,86.38,Semi-urban
34,Children (0-14),Low Income,48.11,Rural
35,Adults (15-64),High Income,57.52,Semi-urban
36,Children (0-14),Low Income,72.86,Rural
37,Children (0-14),Low Income,74.16,Semi-urban
38,Adults (15-64),Middle Income,42.86,Semi-urban
39,Elderly (65+),High Income,58.43,Urban
40,Children (0-14),Low Income,92.12,Semi-urban
41,Children (0-14),Middle Income,65.94,Semi-urban
42,Elderly (65+),Middle Income,47.98,Rural
43,Adults (15-64),Low Income,65.9,Semi-urban
44,Adults (15-64),Low Income,65.13,Urban
45,Adults (15-64),Low Income,65.93,Semi-urban
46,Elderly (65+),High Income,60.38,Semi-urban
47,Adults (15-64),Low Income,90.88,Semi-urban
48,Elderly (65+),Middle Income,79.09,Semi-urban
49,Elderly (65+),High Income,65.1,Rural
50,Adults (15-64),Low Income,94.09,Semi-urban
51,Adults (15-64),Low Income,43.99,Semi-urban
52,Children (0-14),Low Income,93.59,Rural
53,Adults (15-64),Low Income,44.15,Semi-urban
54,Elderly (65+),Middle Income,78.93,Semi-urban
55,Children (0-14),Low Income,77.35,Urban
56,Children (0-14),High Income,46.74,Rural
57,Children (0-14),High Income,55.45,Semi-urban
58,Children (0-14),Low Income,70.74,Semi-urban
59,Children (0-14),Low Income,94.86,Rural
60,Children (0-14),Low Income,60.6,Rural
61,Adults (15-64),Middle Income,64.15,Semi-urban
62,Children (0-14),High Income,66.03,Urban
63,Adults (15-64),High Income,42.89,Semi-urban
64,Children (0-14),Middle Income,84.43,Rural
65,Adults (15-64),High Income,70.92,Urban
66,Adults (15-64),Low Income,52.36,Rural
67,Elderly (65+),Low Income,65.49,Urban
68,Adults (15-64),High Income,76.9,Semi-urban
69,Adults (15-64),High Income,41.27,Rural
70,Adults (15-64),Low Income,82.63,Rural
71,Elderly (65+),Low Income,78.44,Urban
72,Elderly (65+),Middle Income,50.21,Rural
73,Children (0-14),High Income,59.48,Semi-urban
74,Children (0-14),Low Income,74.83,Semi-urban
75,Elderly (65+),Low Income,49.3,Rural
76,Elderly (65+),High Income,58.19,Urban
77,Elderly (65+),Middle Income,50.6,Urban
78,Elderly (65+),Middle Income,43.31,Urban
79,Adults (15-64),High Income,56.39,Rural
80,Adults (15-64),Low Income,42.11,Urban
81,Adults (15-64),High Income,74.51,Semi-urban
82,Elderly (65+),Middle Income,68.4,Semi-urban
83,Children (0-14),Middle Income,79.78,Semi-urban
84,Elderly (65+),Low Income,86.43,Semi-urban
85,Adults (15-64),Low Income,66.5,Semi-urban
86,Children (0-14),Low Income,75.53,Urban
87,Elderly (65+),Middle Income,44.1,Rural
88,Elderly (65+),Low Income,54.17,Semi-urban
89,Elderly (65+),High Income,41.55,Semi-urban
90,Elderly (65+),Low Income,82.51,Rural
91,Children (0-14),High Income,81.85,Rural
92,Children (0-14),Low Income,82.9,Urban
93,Children (0-14),High Income,54.35,Semi-urban
94,Adults (15-64),High Income,71.7,Urban
95,Children (0-14),High Income,87.42,Rural
96,Children (0-14),Low Income,65.05,Semi-urban
97,Adults (15-64),Low Income,43.02,Urban
98,Elderly (65+),Middle Income,83.31,Urban
99,Children (0-14),Low Income,52.47,Urban
100,Children (0-14),High Income,80.62,Semi-urban
101,Children (0-14),Middle Income,77.67,Semi-urban
102,Children (0-14),Middle Income,92.69,Semi-urban
103,Elderly (65+),High Income,66.66,Rural
104,Elderly (65+),High Income,82.08,Rural
105,Children (0-14),High Income,74.34,Urban
106,Elderly (65+),Low Income,60.72,Rural
107,Elderly (65+),High Income,65.17,Semi-urban
108,Children (0-14),High Income,64.85,Rural
109,Adults (15-64),High Income,49.93,Rural
110,Elderly (65+),Low Income,72.15,Rural
111,Elderly (65+),Low Income,92.12,Semi-urban
112,Elderly (65+),Low Income,45.94,Rural
113,Elderly (65+),Middle Income,89.55,Rural
114,Elderly (65+),Low Income,87.5,Urban
115,Adults (15-64),Middle Income,49.42,Rural
116,Children (0-14),Middle Income,88.88,Urban
117,Adults (15-64),High Income,63.37,Semi-urban
118,Children (0-14),Middle Income,45.47,Urban
119,Elderly (65+),High Income,46.5,Urban
120,Adults (15-64),Low Income,61.93,Rural
121,Adults (15-64),High Income,60.01,Semi-urban
122,Children (0-14),Low Income,50.83,Urban
123,Elderly (65+),Middle Income,76.22,Semi-urban
124,Adults (15-64),High Income,71.47,Rural
125,Elderly (65+),Middle Income,57.29,Urban
126,Elderly (65+),High Income,69.75,Urban
127,Adults (15-64),Middle Income,52.15,Rural
128,Children (0-14),High Income,80.91,Urban
129,Elderly (65+),Middle Income,66.82,Rural
130,Adults (15-64),High Income,49.88,Rural
131,Children (0-14),High Income,43.92,Semi-urban
132,Adults (15-64),Low Income,74.34,Semi-urban
133,Children (0-14),High Income,68.76,Urban
134,Children (0-14),Middle Income,67.04,Semi-urban
135,Elderly (65+),Middle Income,63.0,Semi-urban
136,Adults (15-64),Low Income,82.11,Urban
137,Adults (15-64),High Income,85.69,Urban
138,Elderly (65+),Middle Income,71.96,Urban
139,Children (0-14),Middle Income,90.66,Rural
140,Adults (15-64),Low Income,85.76,Rural
141,Adults (15-64),Low Income,83.61,Urban
142,Adults (15-64),Low Income,79.24,Semi-urban
143,Children (0-14),Middle Income,88.11,Rural
144,Elderly (65+),High Income,77.37,Semi-urban
145,Elderly (65+),Low Income,69.68,Urban
146,Adults (15-64),High Income,80.59,Rural
147,Elderly (65+),Middle Income,61.23,Semi-urban
148,Children (0-14),Low Income,43.78,Semi-urban
149,Elderly (65+),High Income,61.64,Rural
150,Children (0-14),High Income,41.12,Urban
151,Adults (15-64),Middle Income,79.81,Semi-urban
152,Elderly (65+),High Income,78.33,Semi-urban
153,Children (0-14),High Income,54.4,Urban
154,Elderly (65+),Low Income,71.13,Rural
155,Adults (15-64),High Income,94.9,Urban
156,Adults (15-64),Middle Income,40.5,Urban
157,Children (0-14),Low Income,68.17,Urban
158,Adults (15-64),High Income,63.74,Semi-urban
159,Adults (15-64),High Income,44.02,Rural
160,Children (0-14),Middle Income,78.32,Urban
161,Elderly (65+),Low Income,55.88,Semi-urban
162,Elderly (65+),Middle Income,60.11,Urban
163,Adults (15-64),High Income,69.64,Urban
164,Adults (15-64),Low Income,64.74,Semi-urban
165,Adults (15-64),High Income,86.09,Urban
166,Elderly (65+),Low Income,89.03,Urban
167,Children (0-14),High Income,91.75,Rural
168,Children (0-14),High Income,77.98,Semi-urban
169,Adults (15-64),Middle Income,48.07,Semi-urban
170,Adults (15-64),Middle Income,56.15,Semi-urban
171,Children (0-14),Low Income,81.51,Semi-urban
172,Elderly (65+),Low Income,43.29,Rural
173,Adults (15-64),Middle Income,65.97,Urban
174,Elderly (65+),Low Income,52.53,Semi-urban
175,Adults (15-64),Middle Income,58.03,Rural
176,Adults (15-64),Middle Income,50.61,Rural
177,Adults (15-64),High Income,75.02,Semi-urban
178,Children (0-14),High Income,83.76,Urban
179,Elderly (65+),Middle Income,76.31,Rural
180,Elderly (65+),Middle Income,86.18,Rural
181,Children (0-14),Middle Income,72.21,Semi-urban
182,Children (0-14),Middle Income,88.34,Semi-urban
183,Children (0-14),High Income,52.19,Semi-urban
184,Children (0-14),High Income,58.65,Rural
185,Adults (15-64),High Income,54.63,Urban
186,Children (0-14),Low Income,80.28,Rural
187,Children (0-14),Middle Income,88.15,Urban
188,Adults (15-64),Low Income,88.1,Urban
189,Children (0-14),Low Income,94.4,Urban
190,Adults (15-64),Low Income,41.93,Semi-urban
191,Adults (15-64),High Income,73.29,Rural
192,Elderly (65+),Low Income,82.51,Semi-urban
193,Adults (15-64),Middle Income,52.97,Rural
194,Adults (15-64),Middle Income,49.96,Rural
195,Children (0-14),Low Income,47.74,Rural
196,Adults (15-64),Low Income,65.35,Urban
197,Children (0-14),Middle Income,73.26,Semi-urban
198,Children (0-14),Middle Income,85.23,Urban
199,Adults (15-64),Low Income,41.55,Rural
200,Elderly (65+),Low Income,46.89,Urban
201,Adults (15-64),Middle Income,91.05,Urban
202,Adults (15-64),Low Income,63.74,Urban
203,Children (0-14),Middle Income,55.3,Rural
204,Adults (15-64),Low Income,74.61,Rural
205,Adults (15-64),Middle Income,89.69,Rural
206,Children (0-14),Low Income,42.36,Semi-urban
207,Children (0-14),Middle Income,50.84,Rural
208,Elderly (65+),High Income,74.38,Semi-urban
209,Elderly (65+),High Income,47.82,Rural
210,Children (0-14),High Income,70.0,Rural
211,Elderly (65+),High Income,91.86,Rural
212,Adults (15-64),High Income,55.97,Semi-urban
213,Adults (15-64),Middle Income,84.22,Semi-urban
214,Adults (15-64),High Income,67.87,Urban
215,Adults (15-64),High Income,75.45,Semi-urban
216,Elderly (65+),High Income,45.93,Rural
217,Elderly (65+),Middle Income,79.2,Semi-urban
218,Adults (15-64),Middle Income,90.84,Semi-urban
219,Children (0-14),High Income,68.51,Semi-urban
220,Adults (15-64),High Income,89.58,Semi-urban
221,Adults (15-64),Low Income,70.34,Urban
222,Adults (15-64),Middle Income,64.58,Rural
223,Children (0-14),Middle Income,80.65,Rural
224,Adults (15-64),Low Income,50.26,Rural
225,Adults (15-64),High Income,81.73,Rural
226,Elderly (65+),High Income,76.78,Rural
227,Children (0-14),Low Income,88.08,Rural
228,Adults (15-64),Low Income,43.39,Rural
229,Elderly (65+),High Income,55.14,Urban
