Initiative_key,Initiative_name,Start_date,End_date,Coverage_percentage
0,Community Health Worker Training,2021-03-02,2015-02-18,83.14
1,Malaria Awareness Campaign,2018-06-19,2015-09-23,65.32
2,Indoor Residual Spraying Campaign,2023-07-30,2019-02-11,94.06
3,Community Health Worker Training,2015-07-07,2022-10-07,70.17
4,Malaria Awareness Campaign,2023-06-17,2023-05-25,87.52
5,Malaria Awareness Campaign,2020-11-09,2016-02-10,57.89
6,Malaria Testing and Treatment Program,2015-02-21,2022-06-04,90.05
7,Malaria Testing and Treatment Program,2019-07-27,2019-05-24,58.13
8,Community Health Worker Training,2018-02-11,2015-10-12,52.27
9,Malaria Awareness Campaign,2018-04-27,2020-02-23,71.11
10,Indoor Residual Spraying Campaign,2022-07-02,2021-02-09,74.16
11,Malaria Awareness Campaign,2020-02-20,2015-11-25,82.46
12,Malaria Testing and Treatment Program,2018-02-02,2018-03-28,71.98
13,Bed Net Distribution Program,2016-04-08,2018-07-08,59.78
14,Indoor Residual Spraying Campaign,2016-08-18,2022-05-22,84.69
15,Malaria Testing and Treatment Program,2015-08-05,2016-05-11,57.3
16,Indoor Residual Spraying Campaign,2019-03-15,2020-09-26,74.39
17,Malaria Awareness Campaign,2016-03-14,2023-04-23,60.63
18,Malaria Testing and Treatment Program,2019-01-22,2023-09-29,50.26
19,Indoor Residual Spraying Campaign,2023-06-29,2017-02-08,88.62
20,Malaria Awareness Campaign,2019-08-15,2021-05-31,80.99
21,Bed Net Distribution Program,2019-06-11,2015-02-25,51.25
22,Malaria Testing and Treatment Program,2019-06-21,2023-02-03,56.24
23,Bed Net Distribution Program,2018-07-17,2017-10-04,74.9
24,Malaria Awareness Campaign,2021-01-06,2022-07-03,83.88
25,Bed Net Distribution Program,2022-06-23,2015-11-14,61.61
26,Bed Net Distribution Program,2016-08-16,2016-03-24,56.83
27,Malaria Testing and Treatment Program,2020-09-18,2021-09-07,85.31
28,Bed Net Distribution Program,2020-05-15,2020-04-25,93.48
29,Malaria Testing and Treatment Program,2015-01-26,2020-07-29,79.99
30,Malaria Testing and Treatment Program,2018-10-14,2015-10-04,60.54
31,Malaria Testing and Treatment Program,2020-08-30,2022-03-30,94.12
32,Indoor Residual Spraying Campaign,2019-03-01,2016-11-25,55.72
33,Bed Net Distribution Program,2020-10-10,2016-03-26,51.83
34,Community Health Worker Training,2018-01-08,2017-07-07,73.95
35,Bed Net Distribution Program,2019-06-25,2018-09-23,81.21
36,Indoor Residual Spraying Campaign,2021-01-26,2020-12-23,73.92
37,Indoor Residual Spraying Campaign,2021-11-07,2018-02-16,58.68
38,Bed Net Distribution Program,2023-12-21,2017-06-22,53.06
39,Bed Net Distribution Program,2017-07-12,2017-07-02,84.52
40,Bed Net Distribution Program,2021-10-01,2021-04-26,72.96
41,Indoor Residual Spraying Campaign,2020-08-30,2015-07-17,74.57
42,Bed Net Distribution Program,2022-05-29,2019-01-16,88.01
43,Bed Net Distribution Program,2021-05-27,2020-06-03,66.11
44,Malaria Testing and Treatment Program,2021-04-29,2016-06-20,52.25
45,Indoor Residual Spraying Campaign,2023-06-17,2018-10-24,79.97
46,Malaria Testing and Treatment Program,2015-01-20,2021-06-15,91.02
47,Bed Net Distribution Program,2020-02-10,2017-09-06,55.98
48,Bed Net Distribution Program,2019-12-01,2020-09-01,79.36
49,Malaria Testing and Treatment Program,2020-11-21,2017-05-11,80.69
50,Community Health Worker Training,2020-11-01,2022-10-13,50.52
51,Malaria Testing and Treatment Program,2017-03-19,2019-04-29,71.28
52,Community Health Worker Training,2015-11-15,2021-04-08,89.17
53,Malaria Awareness Campaign,2022-12-22,2023-02-24,91.81
54,Malaria Testing and Treatment Program,2020-02-28,2021-04-19,53.19
55,Malaria Awareness Campaign,2018-01-15,2018-01-06,88.41
56,Indoor Residual Spraying Campaign,2021-09-02,2015-06-07,81.72
57,Community Health Worker Training,2022-12-04,2018-04-22,76.49
58,Malaria Awareness Campaign,2018-03-30,2018-07-21,76.04
59,Malaria Awareness Campaign,2022-05-24,2016-12-13,54.55
60,Indoor Residual Spraying Campaign,2020-02-16,2018-02-21,78.15
61,Indoor Residual Spraying Campaign,2017-11-15,2021-07-03,84.06
62,Indoor Residual Spraying Campaign,2022-11-20,2016-11-11,60.99
63,Indoor Residual Spraying Campaign,2017-06-23,2019-05-10,78.6
64,Community Health Worker Training,2021-03-07,2018-07-07,78.47
65,Bed Net Distribution Program,2023-01-30,2021-02-04,56.57
66,Bed Net Distribution Program,2016-04-22,2021-09-06,59.49
67,Indoor Residual Spraying Campaign,2016-03-21,2019-04-30,78.11
68,Malaria Awareness Campaign,2019-02-17,2019-09-18,67.82
69,Bed Net Distribution Program,2019-03-23,2020-08-22,88.35
70,Bed Net Distribution Program,2020-11-23,2021-05-02,81.48
71,Bed Net Distribution Program,2018-04-02,2020-10-13,82.47
72,Malaria Testing and Treatment Program,2017-07-21,2016-05-18,54.44
73,Community Health Worker Training,2017-07-09,2019-07-06,60.05
74,Malaria Awareness Campaign,2019-03-15,2023-03-29,77.38
75,Bed Net Distribution Program,2019-01-13,2021-02-26,51.51
76,Malaria Testing and Treatment Program,2021-03-02,2022-03-29,89.82
77,Malaria Awareness Campaign,2020-09-21,2017-07-19,84.98
78,Bed Net Distribution Program,2023-01-11,2020-10-18,87.1
79,Malaria Awareness Campaign,2020-06-10,2020-03-12,89.56
80,Bed Net Distribution Program,2023-10-16,2016-03-26,75.16
81,Malaria Awareness Campaign,2020-02-28,2019-03-31,56.77
82,Malaria Awareness Campaign,2015-10-01,2015-11-09,68.35
83,Malaria Testing and Treatment Program,2019-07-17,2021-10-23,87.0
84,Malaria Testing and Treatment Program,2015-09-19,2015-10-11,79.29
85,Malaria Awareness Campaign,2021-03-09,2018-02-26,70.47
86,Community Health Worker Training,2022-08-25,2023-07-10,68.87
87,Community Health Worker Training,2023-07-09,2019-07-03,87.0
88,Malaria Awareness Campaign,2020-04-02,2019-04-08,92.66
89,Malaria Testing and Treatment Program,2015-11-29,2019-10-31,57.72
90,Malaria Awareness Campaign,2016-02-24,2022-07-01,85.15
91,Malaria Testing and Treatment Program,2017-11-27,2020-11-23,93.73
92,Indoor Residual Spraying Campaign,2019-07-28,2022-08-06,66.15
93,Malaria Awareness Campaign,2018-12-06,2021-10-31,57.34
94,Malaria Testing and Treatment Program,2019-02-12,2018-03-08,92.26
95,Community Health Worker Training,2021-08-25,2022-06-07,70.54
96,Malaria Testing and Treatment Program,2022-07-18,2021-11-17,94.82
97,Malaria Testing and Treatment Program,2020-11-27,2018-01-08,88.93
98,Malaria Testing and Treatment Program,2015-07-04,2023-03-15,57.26
99,Indoor Residual Spraying Campaign,2022-03-21,2017-11-04,56.21
100,Malaria Awareness Campaign,2019-04-12,2017-06-05,88.6
101,Community Health Worker Training,2019-02-14,2022-09-10,66.47
102,Malaria Testing and Treatment Program,2016-10-19,2022-04-09,62.04
103,Malaria Testing and Treatment Program,2015-09-29,2017-10-18,60.46
104,Malaria Awareness Campaign,2015-07-03,2021-05-17,63.46
105,Malaria Testing and Treatment Program,2023-05-22,2017-11-17,88.1
106,Bed Net Distribution Program,2023-10-07,2023-05-26,60.09
107,Indoor Residual Spraying Campaign,2018-05-10,2016-11-30,69.03
108,Community Health Worker Training,2017-06-12,2015-10-05,53.34
109,Bed Net Distribution Program,2017-10-22,2019-04-28,50.9
110,Malaria Testing and Treatment Program,2016-08-08,2022-01-28,82.8
111,Indoor Residual Spraying Campaign,2020-03-09,2021-04-29,68.32
