Healthcare_key,Facility_name,Bed_capacity,Medical_staff,Antimalarial_stock,Has_lab_facilities,Distance_to_communities
0,Community Clinic 0,21,24,617,False,15.1
1,Health Center 1,124,10,588,False,6.38
2,Community Clinic 2,105,43,351,True,2.18
3,Health Center 3,190,34,506,True,9.58
4,Health Center 4,53,36,414,True,25.27
5,Health Center 5,52,15,384,False,26.0
6,District Hospital 6,49,14,207,False,7.69
7,Community Clinic 7,78,17,183,False,20.94
8,Health Center 8,142,12,869,True,18.44
9,Health Center 9,141,33,451,True,26.62
10,District Hospital 10,107,24,382,False,22.37
11,District Hospital 11,129,35,279,True,18.27
12,District Hospital 12,125,11,129,False,2.43
13,Community Clinic 13,14,50,790,False,22.36
14,District Hospital 14,114,50,803,False,2.62
15,Health Center 15,143,12,419,True,11.63
16,Community Clinic 16,125,35,737,False,23.79
17,District Hospital 17,78,41,501,True,15.52
18,District Hospital 18,159,10,440,True,20.17
19,Health Center 19,95,50,680,False,19.79
20,Community Clinic 20,109,11,839,False,16.54
21,Community Clinic 21,159,31,496,False,26.5
22,Community Clinic 22,70,16,528,False,4.25
23,Community Clinic 23,116,44,836,True,19.81
24,Health Center 24,180,37,401,False,16.95
25,Health Center 25,185,50,230,True,15.67
26,District Hospital 26,129,5,774,False,26.1
27,Health Center 27,200,14,548,False,23.23
28,Community Clinic 28,141,48,799,True,17.71
29,Health Center 29,137,23,232,True,29.53
30,Community Clinic 30,60,50,326,False,28.77
31,Health Center 31,130,39,377,True,27.12
32,Health Center 32,83,48,391,False,11.8
33,Health Center 33,151,25,668,True,12.84
34,Community Clinic 34,138,44,969,False,22.73
35,Health Center 35,35,43,647,False,18.3
36,Health Center 36,56,50,821,True,10.89
37,District Hospital 37,12,39,375,True,8.63
38,District Hospital 38,27,20,537,False,21.6
39,District Hospital 39,165,40,396,False,4.77
40,District Hospital 40,145,25,189,True,10.71
41,District Hospital 41,110,43,218,False,16.95
42,District Hospital 42,186,17,506,True,10.26
43,Health Center 43,122,36,653,True,29.21
44,Health Center 44,184,43,747,True,17.28
45,Community Clinic 45,83,39,631,False,9.35
46,District Hospital 46,198,32,744,True,19.88
47,Health Center 47,90,16,841,False,26.86
48,Community Clinic 48,19,16,154,True,3.94
49,District Hospital 49,87,25,506,True,2.93
50,Health Center 50,83,27,431,True,3.69
51,District Hospital 51,57,44,242,True,29.39
52,Health Center 52,101,11,800,True,21.06
53,Health Center 53,131,23,660,True,15.12
54,Community Clinic 54,90,38,812,True,18.9
55,Community Clinic 55,96,33,261,False,26.37
56,District Hospital 56,185,47,231,True,7.72
57,Community Clinic 57,142,32,375,True,5.86
58,Health Center 58,57,41,290,True,16.3
59,Health Center 59,92,7,822,True,11.18
60,Community Clinic 60,138,44,436,False,9.71
61,Health Center 61,84,13,108,False,14.43
62,District Hospital 62,171,47,812,False,7.98
63,Health Center 63,59,27,539,False,0.63
64,District Hospital 64,84,28,406,False,21.57
65,District Hospital 65,74,48,186,True,9.55
66,Health Center 66,17,17,724,True,22.08
67,District Hospital 67,149,21,204,True,21.95
68,Community Clinic 68,155,7,423,True,12.84
69,Health Center 69,75,25,263,True,14.1
70,District Hospital 70,178,35,710,False,12.59
71,District Hospital 71,101,10,232,True,13.41
72,Health Center 72,46,35,693,False,4.41
73,Community Clinic 73,78,35,406,False,14.3
74,Community Clinic 74,74,10,108,True,22.82
75,Community Clinic 75,72,38,953,True,20.15
76,Health Center 76,79,25,655,False,28.4
77,District Hospital 77,18,34,898,False,27.96
78,District Hospital 78,185,31,253,True,11.41
79,Health Center 79,13,37,627,True,14.85
80,District Hospital 80,45,48,227,False,25.43
