Location_key,Region_name,District,Population_density,Terrain_type,Distance_to_water
0,Southwest Region,Fako,103.52,Coastal,4.66
1,Littoral Region,Sanaga-Maritime,404.57,Plains,17.76
2,Adamawa Region,Faro-et-Deo,462.01,Coastal,2.7
3,South Region,Mvila,491.57,Forest,18.94
4,West Region,Mifi,170.59,Plains,10.61
5,Far North Region,Mayo-Tsanaga,247.29,Coastal,14.58
6,Far North Region,Diamare,68.03,Forest,13.0
7,East Region,Haut-Nyong,256.2,Forest,16.67
8,Far North Region,Mayo-Danay,481.54,Forest,8.01
9,North Region,Faro,84.31,Forest,5.42
10,Southwest Region,Kupe-Manenguba,82.33,Mountainous,9.91
11,Far North Region,Mayo-Tsanaga,471.38,Coastal,15.21
12,East Region,Lom-et-Djerem,368.22,Coastal,19.21
13,South Region,Mvila,363.39,Plains,1.39
14,South Region,Ocean,166.36,Forest,15.54
15,West Region,Nde,213.47,Coastal,10.79
16,Far North Region,Mayo-Sava,373.97,Mountainous,13.74
17,Northwest Region,Donga-Mantung,359.89,Plains,19.08
18,Far North Region,Mayo-Tsanaga,299.18,Plains,10.03
19,Centre Region,Lekie,106.01,Coastal,1.55
20,Northwest Region,Momo,407.59,Plains,14.91
21,Far North Region,Mayo-Tsanaga,102.8,Coastal,15.39
22,Northwest Region,Bui,143.17,Plains,17.31
23,West Region,Haut-Nkam,454.95,Coastal,3.84
24,Adamawa Region,Mbere,385.66,Mountainous,10.88
25,South Region,Dja-et-Lobo,265.19,Plains,8.4
26,Littoral Region,Moungo,120.15,Coastal,15.13
27,Adamawa Region,Vina,371.6,Mountainous,14.65
28,South Region,Ocean,63.56,Forest,1.92
29,Southwest Region,Lebialem,402.59,Coastal,16.71
30,Littoral Region,Nkam,218.17,Coastal,4.42
31,Adamawa Region,Faro-et-Deo,350.54,Plains,9.01
32,East Region,Kadey,266.49,Plains,19.14
33,South Region,Ocean,205.04,Mountainous,5.38
34,Northwest Region,Ngo-Ketunjia,151.81,Mountainous,13.17
35,Northwest Region,Momo,330.63,Forest,18.49
36,Adamawa Region,Vina,332.0,Forest,15.57
37,Littoral Region,Wouri,259.79,Mountainous,4.8
38,Far North Region,Diamare,303.86,Mountainous,1.72
39,Adamawa Region,Mayo-Banyo,215.45,Plains,15.93
40,West Region,Menoua,301.23,Mountainous,13.72
41,Northwest Region,Bui,223.9,Forest,0.36
42,Centre Region,Nyong-et-Kelle,238.42,Mountainous,10.75
43,Northwest Region,Mezam,261.74,Forest,9.03
44,Southwest Region,Ndian,216.23,Forest,9.29
45,West Region,Nde,257.07,Forest,13.03
46,Far North Region,Diamare,458.62,Coastal,10.74
47,South Region,Mvila,305.88,Coastal,16.35
48,South Region,Dja-et-Lobo,145.67,Mountainous,0.58
49,Southwest Region,Kupe-Manenguba,285.78,Mountainous,13.0
50,Littoral Region,Wouri,408.91,Plains,5.22
51,South Region,Ocean,88.0,Mountainous,7.96
52,South Region,Vallee-du-Ntem,465.31,Coastal,3.73
53,Far North Region,Diamare,317.82,Coastal,16.56
54,East Region,Kadey,303.14,Plains,15.49
55,South Region,Mvila,141.28,Forest,8.17
56,Northwest Region,Donga-Mantung,263.76,Coastal,19.22
57,Centre Region,Nyong-et-Kelle,202.74,Mountainous,7.49
58,Littoral Region,Wouri,175.44,Coastal,1.63
59,West Region,Bamboutos,420.7,Coastal,18.7
60,Littoral Region,Nkam,376.65,Forest,10.15
61,Northwest Region,Mezam,154.03,Coastal,6.39
62,North Region,Mayo-Rey,126.07,Plains,8.76
63,North Region,Faro,78.59,Mountainous,7.28
64,West Region,Haut-Nkam,322.14,Plains,5.05
65,South Region,Ocean,442.01,Coastal,9.62
66,North Region,Mayo-Rey,67.2,Mountainous,4.02
67,Adamawa Region,Mbere,321.38,Mountainous,8.87
68,Adamawa Region,Faro-et-Deo,243.6,Coastal,15.72
69,Adamawa Region,Djerem,302.33,Plains,7.64
70,Adamawa Region,Vina,123.84,Plains,13.37
71,North Region,Mayo-Louti,149.23,Forest,19.52
72,West Region,Menoua,345.75,Forest,16.42
73,Far North Region,Mayo-Danay,157.64,Plains,15.72
74,Adamawa Region,Djerem,296.33,Mountainous,0.7
75,South Region,Dja-et-Lobo,255.14,Plains,13.71
76,Northwest Region,Mezam,478.0,Forest,3.78
77,East Region,Kadey,254.34,Plains,18.04
78,Littoral Region,Nkam,264.99,Forest,16.39
79,North Region,Mayo-Rey,248.41,Forest,10.78
80,Northwest Region,Donga-Mantung,129.51,Coastal,15.96
81,East Region,Haut-Nyong,475.67,Coastal,0.58
82,South Region,Ocean,264.25,Coastal,13.76
83,East Region,Haut-Nyong,410.81,Mountainous,8.33
84,Adamawa Region,Mayo-Banyo,278.04,Plains,8.81
85,North Region,Benoue,490.94,Mountainous,17.94
86,Littoral Region,Sanaga-Maritime,147.63,Mountainous,15.86
87,Adamawa Region,Mbere,324.21,Plains,17.63
88,Northwest Region,Bui,431.54,Plains,19.07
89,Adamawa Region,Djerem,385.9,Mountainous,7.68
90,South Region,Dja-et-Lobo,94.82,Mountainous,1.1
91,North Region,Mayo-Louti,359.47,Forest,13.17
