Prevention_key,Nets_distributed,Spray_coverage,Control_method,Last_campaign_date
0,223,68.89,Bed Net Distribution,2021-12-11
1,527,83.95,Environmental Management,2023-11-05
2,3905,63.84,Larvicide Application,2020-11-28
3,330,75.16,Bed Net Distribution,2021-04-10
4,782,66.9,Indoor Residual Spraying,2018-03-21
5,3797,73.15,Larvicide Application,2022-10-14
6,387,86.6,Bed Net Distribution,2021-11-22
7,2739,49.39,Bed Net Distribution,2021-12-30
8,3902,53.06,Bed Net Distribution,2015-09-04
9,592,75.76,Environmental Management,2018-04-27
10,4991,43.8,Indoor Residual Spraying,2023-06-01
11,4128,88.58,Environmental Management,2016-02-02
12,4938,41.56,Environmental Management,2020-05-22
13,4708,42.02,Bed Net Distribution,2016-12-11
14,282,73.28,Indoor Residual Spraying,2019-01-05
15,1602,52.61,Indoor Residual Spraying,2017-11-04
16,2853,79.16,Larvicide Application,2018-05-01
17,2624,83.92,Environmental Management,2015-08-23
18,1803,60.76,Bed Net Distribution,2021-07-27
19,396,53.45,Environmental Management,2016-09-16
20,999,92.3,Indoor Residual Spraying,2020-05-22
21,3177,60.21,Bed Net Distribution,2017-12-17
22,508,56.5,Larvicide Application,2018-07-31
23,529,80.77,Indoor Residual Spraying,2016-10-27
24,2410,56.14,Indoor Residual Spraying,2015-11-18
25,1506,67.29,Environmental Management,2016-04-18
26,3734,84.67,Bed Net Distribution,2021-05-02
27,1986,71.05,Bed Net Distribution,2018-06-01
28,3568,94.42,Bed Net Distribution,2021-12-22
29,3320,68.14,Larvicide Application,2015-09-07
30,128,87.3,Environmental Management,2016-11-05
31,224,50.95,Bed Net Distribution,2020-04-04
32,2425,69.0,Larvicide Application,2022-10-23
33,201,41.17,Bed Net Distribution,2023-10-08
34,4145,75.99,Larvicide Application,2016-09-15
35,3889,45.78,Larvicide Application,2022-06-09
36,2990,51.71,Environmental Management,2018-04-12
37,3372,93.69,Bed Net Distribution,2020-10-18
38,1345,53.22,Environmental Management,2020-12-11
39,4300,44.97,Larvicide Application,2018-03-31
