Weather_key,Temperature,Humidity,Rainfall,Wind_speed,Weather_pattern
0,29.78,80.71,70.05,8.25,Stormy
1,20.21,70.39,36.1,18.1,Cloudy
2,34.11,80.73,185.29,3.06,Sunny
3,33.11,73.15,257.37,2.38,Cloudy
4,29.27,90.31,218.31,4.87,Sunny
5,33.99,70.48,73.3,17.05,Rainy
6,22.26,78.28,183.77,4.29,Cloudy
7,30.89,71.12,7.64,18.92,Sunny
8,33.92,72.1,138.36,18.8,Cloudy
9,32.89,62.58,165.66,14.79,Sunny
10,20.43,78.95,296.68,18.95,Cloudy
11,23.3,94.3,279.4,0.32,Cloudy
12,25.3,70.27,103.72,0.01,Cloudy
13,21.87,94.5,267.1,16.01,Cloudy
14,24.48,81.36,215.04,1.98,Cloudy
15,22.9,93.74,156.13,2.69,Cloudy
16,28.12,62.05,229.28,8.87,Stormy
17,33.16,92.32,111.87,19.0,Sunny
18,20.73,90.4,95.9,7.72,Sunny
19,24.54,78.72,106.91,13.31,Sunny
20,28.28,87.41,150.29,1.28,Cloudy
21,32.32,92.18,93.19,11.45,Rainy
22,27.75,68.8,116.04,7.1,Rainy
23,21.15,65.53,286.19,8.35,Cloudy
24,31.37,83.55,30.39,16.87,Cloudy
25,26.5,72.37,187.38,11.17,Cloudy
26,33.55,65.72,154.38,10.79,Sunny
27,23.93,66.66,95.01,15.03,Cloudy
28,31.15,91.47,115.65,0.68,Sunny
29,25.43,86.95,251.47,6.6,Cloudy
30,28.63,62.5,291.89,3.1,Stormy
31,22.73,88.78,282.27,18.79,Rainy
32,26.83,65.62,147.02,16.13,Sunny
33,27.39,80.6,282.42,15.32,Stormy
34,24.93,63.17,36.41,17.08,Sunny
35,20.31,76.65,47.36,11.33,Rainy
36,31.82,72.47,203.62,15.42,Sunny
37,28.51,74.57,216.67,9.73,Cloudy
38,32.38,73.83,37.63,15.63,Stormy
39,20.69,80.24,261.14,9.88,Stormy
40,21.84,77.77,278.08,7.02,Sunny
41,24.12,90.67,241.66,6.55,Sunny
42,34.22,63.9,283.87,11.43,Sunny
43,21.71,80.94,242.86,10.57,Rainy
44,23.52,62.97,161.48,0.81,Sunny
45,28.82,64.64,154.77,14.23,Stormy
46,26.53,63.58,88.16,19.49,Cloudy
47,33.93,72.29,263.31,16.68,Sunny
48,21.53,80.91,199.28,1.0,Rainy
49,25.7,74.26,293.03,14.22,Sunny
50,22.89,64.56,224.33,4.81,Stormy
51,28.04,92.51,221.28,19.14,Stormy
52,32.66,86.87,131.13,9.83,Stormy
53,25.92,79.74,241.4,13.88,Stormy
54,34.68,84.07,215.24,13.26,Cloudy
55,20.98,89.49,266.66,17.67,Rainy
56,21.51,83.9,123.14,13.98,Sunny
57,33.14,61.26,276.73,5.51,Sunny
58,33.82,77.97,280.85,13.25,Sunny
59,28.01,90.23,291.79,11.37,Cloudy
60,21.29,72.94,122.05,16.68,Rainy
61,26.74,72.08,138.91,6.83,Sunny
62,26.17,61.87,99.36,11.09,Sunny
63,26.93,60.75,202.27,2.3,Rainy
64,28.03,86.78,202.38,6.2,Rainy
